from,subject,date
Monster Hunter Now <monsterhunternow@email.nianticlabs.com>,Claim your mystery gift in 3...2...1...,
"""Rebrandly"" <noreply@rebrandly.com>",Just launched: The Rebrandly Insider (+Data-driven link strategies),
"""Indeed"" <donotreply@match.indeed.com>",vendedor de piso en Sally Beauty,
Google Play <googleplay-noreply@google.com>,Your Google Play Order Receipt from 31 Mar 2025,
Glassdoor <noreply@glassdoor.com>,Just in at Teleflex: This week's employee reviews and more,
IBM Talent Acquisition <talent@ibm.com>,Your IBM Application: Next Steps,
IBM Talent Acquisition <talent@ibm.com>,You have successfully submitted your IBM job application - 12714 - Software Test Engineer,
"""Indeed"" <donotreply@match.indeed.com>",Practicante desarrollo de software en COPARMEX NUEVO LEON,
"""Indeed"" <donotreply@match.indeed.com>","Programador en AB, SIEMENS - CONOCIMIENTOS AVANZADOS DE PROGRAMACION en FACTORY AUTOMATION ENGINEERING RESOURCES FAER S.A. DE C.V.",
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador .NET en Helius Consulting,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador iOS Jr. - HO en GAMEALL SA DE CV,
"""Indeed"" <donotreply@match.indeed.com>",Full Stack Web Developer en DROPSTUDIO,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador Web Full Stack en Los Reyes del Injerto,
"""Indeed"" <donotreply@match.indeed.com>",Full Stack Developer Mid en TacoShare,
<talentacquisition@cognizant.com>,Cognizant next steps,
IBM Security <ibmacct@iam.ibm.com>,Verify your identity,
"""Support EPAM"" <noreply.account@epam.com>",Verify email,
"""Support EPAM"" <noreply.account@epam.com>",Verify email,
EPAM Hiring Team <noreply@epam.com>,Confirm your application,
privacy_notice@epam.com,EPAM Applicant Privacy Notice,
Oracle Talent Acquisition <noreply@oracle.com>,Your Oracle identity verification,
Oracle Talent Acquisition <noreply@oracle.com>,Your Oracle identity verification,
"Cognizant Talent Acquisition Group
 <TalentAcquisitionGroup@cognizant.com>",Training Java Full-Stack Developer -45703 at Cognizant,
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Programador,
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: FrontWeb GG,
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Practicante de IT,
=?utf-8?B?UG9zdHVsYWNpw7NuIHbDrWEgSW5kZWVk?= <indeedapply@indeed.com>,Postulación en Indeed: Artificial Intelligence Engineer (Zahoree),
"""Booking.com"" <email.campaign@sg.booking.com>","Josue, reserva alojamientos en Chihuahua desde MXN 459",
PriceTravel <contact@pricetravel.com>,Link de pago para localizador 23297046,
PriceTravel <contact@pricetravel.com>,"Josue Escobar, ",
IBM Careers <talent@ibm.com>,"Josue, get a glimpse into the multifaceted world of IBM careers",
"""The Postman Team"" <postman-team@email.postman.com>",Welcome to Postman! Make your first API call today,
The Postman Team <marketing@postman.com>,Stay Connected to Postman,
"""adidas"" <adidas@mx-news.adidas.com>",Firebird: Revive el retro con actitud,
Jeremy from Exercism <hello@mail.exercism.org>,Master Front-End Fundamentals with Exercism's Bootcamp,
"""SHEIN"" <shein@email.shein.com>",ELEVA TU ESTILO ,
"""Under Armour"" <underarmour@emails.underarmour.com>",Unstoppable Parachute Pants,
LinkedIn <updates-noreply@linkedin.com>,Carlos Eduardo Juárez Sosa ha reaccionado a una publicación: I have completed my…,
SHEIN <noreply@sheinnotice.com>,Tu pedido SHEIN ha sido enviado,
"""Under Armour"" <underarmour@emails.underarmour.com>",Fresh styles just dropped,
"""SHEIN"" <shein@news.shein.com>",¡No dejes que se queden en tu carrito! Es hora de llevarlos a casa.,
=?UTF-8?b?RGlEaSBNw6l4aWNv?= <didi@mx.didiglobal.com>,"🌟 Tu tranquilidad, nuestra prioridad 🌟",
"""SHEIN"" <shein@edm.mx.shein.com>","Selecciones frescas, compra ",
ATTITUDE <info@attitudeliving.com>,"Sun's Out, SPF On ",
"""Under Armour"" <underarmour@emails.underarmour.com>",Set the pace in new running gear,
DICK'S | Clearance  <DSG@e.dcsg.com>,Hooray for clearance!,
SHEIN <noreply@sheinnotice.com>,Confirmación,
SHEIN <noreply@sheinnotice.com>,Confirmación,
"""trivago"" <newsletter@e.trivago.com>",¡Solo un paso más!,
"""=?utf-8?Q?Sonny=20at=20Cod=C3=A9dex?="" <sonny@codedex.io>",Your peers are building cool stuff 🤘,
"""Indeed"" <donotreply@match.indeed.com>",CAJERO EN UNIVERSIDAD PRIVADA en ICSEA,
"""SHEIN"" <shein@news.shein.com>",¡No dejes que se queden en tu carrito! Es hora de llevarlos a casa.,
"""Indeed"" <donotreply@match.indeed.com>",Programador Full Stack jr en INOTEK,
"""Indeed"" <donotreply@match.indeed.com>",Ingeniero en Sistemas Computacionales en MUEBLES ARTEX,
"""Hey Banco"" <noreply@hola.hey.inc>","Josue, a 6 días del Pa’l Norte: ¿estás list@? 😱",
"""Booking.com"" <email.campaign@sg.booking.com>","Josue, ",
AliExpress <best-info04.a2@deals.aliexpress.com>,Se vende rápido: Microsoft Xbox Core Astral Purple Special Edition mando ...,
"""adidas"" <adidas@mx-news.adidas.com>",🌟 ¡APROVECHA 1000 PUNTOS EXTRA! 🎁,
"""SHEIN"" <shein@email.shein.com>",¡Abraza tus curvas!,
"""Under Armour"" <underarmour@emails.underarmour.com>",UA Phantom: Run shoe tech. Street shoe drip.,
Google Play <googleplay-noreply@google.com>,Upcoming price increase for your Google One subscription,
LinkedIn <updates-noreply@linkedin.com>,"Mayo Clinic Health System ha publicado esto: Congratulations to Kelly A., a nurse administrator at Mayo Clinic Health…",
LinkedIn <messages-noreply@linkedin.com>,"💬 Josue Alfredo, añade a Iván René Ramos Moctezuma - Associate Professor",
"""Samsung"" <no-reply@m21.email.samsung.com>",Descuentos de hasta 52%🏷️ te esperan 🤩,
"""SHEIN"" <shein@news.shein.com>",¡No dejes que se queden en tu carrito! Es hora de llevarlos a casa.,
"""Indeed"" <donotreply@match.indeed.com>",CAJERO UNIVERSAL TURNO NOCTURNO en Servicio Pan Americano de Proteccion,
DICK'S Sporting Goods  <DSG@e.dcsg.com>,"Open this to get up to 50% off deals... Treat yourself to something
 great",
"""Indeed"" <donotreply@match.indeed.com>",Coordinador de sistemas TI en MARABIS,
"""Indeed"" <donotreply@match.indeed.com>",Practicante desarrollado de Software en ZIKRO,
"""Indeed"" <donotreply@match.indeed.com>",Practicante - Programador de Software en Integra Connective,
"=?UTF-8?B?UmVjcnVpdGluZyBAIEJhaXJlc0Rldg==?=
	<recruiting@joinbairesdev.com>","BairesDev | Josue, ",
The Predictive Index <noreply@mailer.predictiveindex.com>,You’ve,
Fitbit <messages-noreply@fitbit.com>,Queda poca batería en tu Sense.,
"""Indeed"" <no-reply@indeed.com>",La publicación de empleo de Sistemas en SISTEMAS Y SERVICIOS DE COMUNICACION se cerró,
Codecademy Community <no-reply@notification.circle.so>,New event: April Spring Clean: Your Happy Desk Challenge,
"""adidas"" <adidas@mx-news.adidas.com>",🔆 Para los amantes del fútbol: ¿Buscas un look único? Mira la nueva colección México de Oro — brilla con adidas...,
LinkedIn <messages-noreply@linkedin.com>,"Josue Alfredo, sigue a Sheila Montes - Talent Acquisition
 Specialist ll en Johnson Controls",
"""Booking.com"" <email.campaign@sg.booking.com>","Josue, ofertas en Chihuahua desde MXN 456 para tus fechas",
"=?UTF-8?Q?The_Pok=C3=A9mon_Company_International?=
 <pokemon@email.pokemon.com>",Aventuras Compartidas ya está disponible 🗺️,
"""SHEIN"" <shein@email.shein.com>",Los ,
"""Under Armour"" <underarmour@emails.underarmour.com>","Tested in the lab, the gym & on the field",
ATTITUDE <info@attitudeliving.com>,Spotless Kitchen Starts Here ,
"""Samsung"" <no-reply@m21.email.samsung.com>",Hasta 43% OFF en tu Galaxy favorito. ¡Que la fiesta no pare!,
HackerRank Team <no-reply@hackerrankmail.com>,We Challenge You to Solve Iterables and Iterators,
"""Indeed"" <donotreply@match.indeed.com>",Programador en InsideTalent,
"""adidas"" <adidas@mx-news.adidas.com>",😊 Destaca con adidas 😊,
Fitbit <messages-noreply@fitbit.com>,Queda poca batería en tu Sense.,
"""adidas"" <adidas@mx-news.adidas.com>",// Pensamos en ti: // Piensa en grande con adidas.,
Braintrust <donotreply@usebraintrust.com>,🔔,
"""SHEIN"" <shein@news.shein.com>",⏰¡Tu favorita Blusa mujer de manga farol larga.... se está agotando!,
=?UTF-8?b?RGlEaSBwYXJhIChNw6l4aWNvKQ==?= <didi@mx.didiglobal.com>,Creada por DiDi y respaldada por Mastercard,
"=?UTF-8?Q?The_Pok=C3=A9mon_Company_International?=
 <pokemon@email.pokemon.com>",¡Nuevo tráiler de Leyendas Pokémon: Z-A!,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador en NORCUL SA DE CV,
"""Indeed"" <donotreply@match.indeed.com>",Auxiliar de programación en Maestros Joyeros,
"""Indeed"" <donotreply@match.indeed.com>",Recien Egresados en Sistemas o Informática en DIGIS01 Soluciones Digitales,
"""Indeed"" <donotreply@match.indeed.com>",KEY USER TESTER JR (PROCESOS Y PRUEBAS DE SOFTWARE) en RAME Reclutamiento y Selección,
"""Indeed"" <donotreply@match.indeed.com>",Recien Egresados en Sistemas o Informática en RISOSU IT,
"""Booking.com"" <email.campaign@sg.booking.com>","Para alojamientos en en Chihuahua, has ganado nuestras recompensas de viaje de nivel 2 de Genius . ",
"""SHEIN"" <shein@email.shein.com>",Tendencias actuales: los estilos mejor valorados se venden,
Monster Hunter Now <monsterhunternow@email.nianticlabs.com>,"Stay updated on the latest events and your March achievements! It's
 go time!",
"""Indeed"" <donotreply@match.indeed.com>",Técnico Cajeros Automáticos (porte de arma) en Servicio Pan Americano de Proteccion,
"""Indeed"" <alert@indeed.com>","1 nueva vacante de biomedica en Chihuahua, Chih.",
LinkedIn <messages-noreply@linkedin.com>,"Josue Alfredo, ¡estás triunfando en LinkedIn!",
"""SHEIN"" <shein@news.shein.com>",¡No dejes que se queden en tu carrito! Es hora de llevarlos a casa.,
"""Booking.com"" <email.campaign@sg.booking.com>","Josue, termina tu reservación en Sheraton Chihuahua Soberano",
"""Under Armour"" <underarmour@emails.underarmour.com>",Gym-ready performance 🤝 street-approved style,
"""Hey Banco"" <noreply@hola.hey.inc>","💳 Exclusiva, poderosa y solo para fans de verdad 🦁",
"""Indeed"" <donotreply@match.indeed.com>","Soporte Técnico en ID Consultores, S.A. de C.V",
"""Indeed"" <donotreply@match.indeed.com>",Becario en Sistemas en Power Moto SA de CV,
"""Indeed"" <donotreply@match.indeed.com>",SOPORTE TECNICO JUNIOR en UNLOCKERFAST,
"""Indeed"" <donotreply@match.indeed.com>",Programador Web en SOLUCIONES TERRESTRES 4A SA DE CV,
"""Indeed"" <donotreply@match.indeed.com>",Practicante Desarrollador de software en COPARMEX NUEVO LEON,
"""Indeed"" <donotreply@match.indeed.com>",Ingeniero en sistemas Jr. en M3 CORP,
"""Indeed"" <donotreply@match.indeed.com>",Practicante IT/ Software en Servicios Industriales 3i S de RL MI,
Kaggle <noreply@kaggle.com>,Competition Launch: ARC Prize 2025,
"""adidas"" <adidas@mx-news.adidas.com>","Superstar: Original ayer, hoy y siempre",
"=?UTF-8?Q?The_Pok=C3=A9mon_Company_International?=
 <pokemon@email.pokemon.com>",¡Más episodios de Horizontes Pokémon en abril! 👀,
Kaggle <noreply@kaggle.com>,Last Call: Level Up Your GenAI & Break a GUINNESS WORLD RECORD!,
"""Booking.com"" <email.campaign@sg.booking.com>","Josue, ofertas en Chihuahua desde MXN 452 para abril",
ATTITUDE <info@attitudeliving.com>,🚨,
"""Coursera"" <Coursera@m.learn.coursera.org>",Want to be more competitive in the job market?,
"""Indeed"" <donotreply@match.indeed.com>",Encargado de servicio post venta en Maquired,
DICK'S | Flash Sale  <DSG@e.dcsg.com>,⚡ Available for 1 day ONLY (and that's it)! Flash Sale savings time - don't lose out on up to 50% off...,
LinkedIn <messages-noreply@linkedin.com>,"💬 Josue Alfredo, añade a José Ángel Portillo Guzmán - Ingeniero biomédico",
LinkedIn <updates-noreply@linkedin.com>,"Josue Alfredo, Jennifer Rumsey tiene una nueva publicación",
"""SHEIN"" <shein@news.shein.com>",¡No dejes que se queden en tu carrito! Es hora de llevarlos a casa.,
"""=?utf-8?Q?Sonny=20at=20Cod=C3=A9dex?="" <sonny@codedex.io>",Your Coding Resource Guide 📔,
"""Indeed"" <donotreply@match.indeed.com>",Front End Developer en SANI CAPITAL,
"""Indeed"" <donotreply@match.indeed.com>",CAJERO UNIVERSAL TURNO NOCTURNO en Servicio Pan Americano de Proteccion,
HackerRank Team <no-reply@hackerrankmail.com>,Improve your Coding Skills with Validating Credit Card Numbers,
Google Flights <noreply-travel@google.com>,Ruta que sigues: vuelos de Chihuahua a Tijuana desde 1.973 MXN,
"""Booking.com"" <email.campaign@sg.booking.com>","Josue, alojamientos desde MXN 452 en Chihuahua - busca y reserva",
Monster Hunter Now <monsterhunternow@email.nianticlabs.com>,No time for snoozing! Ice/Sleep Element Quests incoming!,
AutoZone Recruiter <noreply@invalidemail.com>,"INTERN-240008V3 at AutoZone.com, Inc.",
AutoZone Recruiter <noreply@invalidemail.com>,"INTERN IT-250001PT at AutoZone.com, Inc.",
AutoZone Recruiter <noreply@invalidemail.com>,"INTERN IT - QE-250001LU at AutoZone.com, Inc.",
AutoZone Recruiter <noreply@invalidemail.com>,"Intern IT - General Services-250001AC at AutoZone.com, Inc.",
AutoZone Recruiter <noreply@invalidemail.com>,"INTERN - IT-250001EW at AutoZone.com, Inc.",
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador de Apps en CHOOSE,
"""Indeed"" <donotreply@match.indeed.com>",Programador PHP Jr en Sepromex Seguridad Privada,
"""Indeed"" <donotreply@match.indeed.com>",Becario(a) Automatización y análisis de datos en ANCABE,
"""Indeed"" <donotreply@match.indeed.com>",Se solicita Web Master Presencial - En Mérida Yucatán. en Soul Lens Studios,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador Web en Ahorra Seguros,
Chrono24 <newsletter@chrono24.com>,Nuestras predicciones para Watches and Wonders 2025,
Glassdoor Community <noreply@glassdoor.com>,"I make $20.00 an hour.  Last week I told my boss I need to make at
 least $3.00...",
Fitbit <noreply@fitbit.com>,Tu informe de progreso semanal de Fitbit,
"""adidas"" <adidas@mx-news.adidas.com>",[[ Estos son los últimos días ]] Brilla con adidas...,
"""SHEIN"" <shein@edm.mx.shein.com>",¡Quedan horas! ¡Usar tu cupón ahora!,
"""SHEIN"" <shein@edm.mx.shein.com>",¡Tus puntos han sido añadidos!,
IconScout <mail@iconscout.com>,📂 Customize your collections to suit your workflow,
"""SHEIN"" <shein@email.shein.com>",¡Eleva tu glamour con nuestros últimos imprescindibles de maquillaje!,
"""Under Armour"" <underarmour@emails.underarmour.com>",It's like a super power 🦸,
"""Sleep Cycle"" <updates@updates.sleepcycle.com>",Who’s the real snorer? Find out today!,
"""Indeed"" <donotreply@match.indeed.com>",VENDEDOR EQUIPO MEDICO en INBASIX MEDICAL SA DE CV,
"""Indeed"" <donotreply@match.indeed.com>",Analista de Sistemas en RISOSU IT,
"""Indeed"" <donotreply@match.indeed.com>",DESARROLLADOR JR en GRUPO DALTON,
"""Indeed"" <donotreply@match.indeed.com>",DESARROLLADOR ETL en Sertec,
"""Indeed"" <donotreply@match.indeed.com>",Consultant Technical Integrations en Talestris Talent,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador Web en OSMOS,
"""Indeed"" <donotreply@match.indeed.com>",Agente Call Center / Inglés / 2 Días libres en Telat Group,
"""Indeed"" <donotreply@match.indeed.com>",Asesor Telefonico- Ingles intermedio (Horario PM) en Genpact,
"""Indeed"" <donotreply@match.indeed.com>",BECARIO / PARA PROGRAMA JÓVENES CONSTRUYENDO EL FUTURO en Aplicativo de Negocios,
"""Indeed"" <donotreply@match.indeed.com>","Becario de Sistemas Computacionales, IT o afín (Operational Efficiency) en Asociación Nacional de Capacitación de Becarios A.C.",
SHEIN <noreply@sheinnotice.com>,Confirmación,
"""adidas"" <adidas@mx-news.adidas.com>",La colección adidas x Mercedes-AMG PETRONAS F1 es única...,
SHEIN <noreply@sheinnotice.com>,El ,
"""Samsung"" <no-reply@m21.email.samsung.com>","Josue , regístrate para un hogar más inteligente💡",
"""ClickUp Team"" <team@mail.clickup.com>",Cancel your ChatGPT subscription—it's all included in ClickUp AI,
Fitbit <messages-noreply@fitbit.com>,Queda poca batería en tu Sense.,
"""Booking.com"" <email.campaign@sg.booking.com>","Buscaste Chihuahua: consigue un 15% de descuento sobre la tarifa base
 en alojamientos seleccionados",
"""Under Armour"" <underarmour@emails.underarmour.com>",March goes best with the new D.Fox 1 'Lexington' shoes,
"=?UTF-8?Q?The_Pok=C3=A9mon_Company_International?=
 <pokemon@email.pokemon.com>",¡El Equipo Rocket regresa en Escarlata y Púrpura-Rivales Predestinados!,
infopagos@mail.telcel.com,Resumen de compra Telcel,
"""Hey Banco"" <noreply@hola.hey.inc>","Una nueva era para Nissan, en esta semana en 'Invierte x Hey Mercados'",
"""Telmex"" <informacion@aviso.telmex.com>",Tu Recibo Telmex ya esta disponible,
"""Indeed"" <donotreply@match.indeed.com>",Encargado sucursal little ceasars en Little Caesars Pizza,
LinkedIn <updates-noreply@linkedin.com>,Shantanu Baruah ha compartido una nueva publicación,
ATTITUDE <info@attitudeliving.com>,Just a reminder,
LSKD <yourfriends@lskd.co>,Sale Ends Midnight TONIGHT ,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador de Software para Alpha ERP en Castelec Internacional,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador de Inteligencia Artificial en OPERADORA VENDING,
"""SHEIN"" <shein@news.shein.com>",⏰¡Tu favorita Vestido largo de manga larga con.... se está agotando!,
Especial Outlet <planes@gluup.info>,Super OUTLET Amazon,
"""SHEIN"" <shein@edm.mx.shein.com>",¡Compra los estilos más vendidos aquí!,
"""Booking.com"" <email.campaign@sg.booking.com>",Alojamiento en Chihuahua desde MXN 454. ,
"""Under Armour"" <underarmour@emails.underarmour.com>",UA Playoff Golf Polo: Back for another round,
DICK'S | Clearance  <DSG@e.dcsg.com>,This. Ends. TOMORROW.,
"""Indeed"" <donotreply@match.indeed.com>",VENDEDOR DE FARMACIA en Farmacias Benavides SAB de CV,
infopagos@mail.telcel.com,Resumen de compra Telcel,
"""SHEIN"" <shein@news.shein.com>",💸 ¡Gran descuento de 6%!,
"""Indeed"" <donotreply@match.indeed.com>",Recien Egresados en Sistemas o Informática en DIGIS01 Soluciones Digitales,
"""Indeed"" <donotreply@match.indeed.com>",Consultor de TI en hyperflex,
"""Indeed"" <donotreply@match.indeed.com>","Desarrollador Junior en AIRPAC SA DE CV ( Mirage, Aires Acondicionados )",
"""Hey Banco"" <noreply@hola.hey.inc>","Josue, tu especial de bienestar primaveral 🌸🌿",
HackerRank Team <no-reply@hackerrankmail.com>,We Challenge You to Solve Re.start() & Re.end(),
"""SHEIN"" <shein@email.shein.com>",¡Revitaliza tu closet con nuestras estilosas adiciones!,
"""Under Armour"" <underarmour@emails.underarmour.com>",New arrivals just landed 🪂,
ATTITUDE <info@attitudeliving.com>,⏳,
AliExpress <ae-sales.notice07@deals.aliexpress.com>,"Esenciales en seguridad: Juego de destornilladores eléctricos 68 en 1, herramient...",
"""Indeed"" <donotreply@match.indeed.com>",AUXILIAR GENERAL PISO DE VENTA en Office Depot,
Fitbit <messages-noreply@fitbit.com>,Queda poca batería en tu Sense.,
Fitbit <noreply@fitbit.com>,¡Enhorabuena! Has ganado tu primera insignia Paracaidista.,
LinkedIn <updates-noreply@linkedin.com>,Universidad Autónoma de Chihuahua ha publicado esto: Saludos,
ATTITUDE <info@attitudeliving.com>,[QUIZ] Find your perfect match!,
LinkedIn <messages-noreply@linkedin.com>,"💬 Josue Alfredo, añade a Rodrigo Sáenz Ortegón - Ingeniero de Validaciones",
"""TELMEX"" <informacion@aviso.telmex.com>",¡No te quedes sin ver lo mejor!,
"""SHEIN"" <shein@news.shein.com>",💸 ¡Gran descuento de 6%!,
"""Indeed"" <donotreply@match.indeed.com>",Analista Power Bi (Temporal) en Coca-Cola FEMSA,
PayPal Communications <no_reply@communications.paypal.com>,"Estamos realizando algunos cambios en los acuerdos legales de
  PayPal",
DICK'S | Clearance  <DSG@e.dcsg.com>,"Go, go, go — the clock is ticking... ⏰",
"""Indeed"" <donotreply@match.indeed.com>",Analista de Sistemas en RISOSU IT,
"""Indeed"" <donotreply@match.indeed.com>",Diseñador Web en Canseco - Publicidad Estratégica,
"""Indeed"" <donotreply@match.indeed.com>","Becario de IT, Sistemas computacionales en Asociación Nacional de Capacitación de Becarios A.C.",
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador Full Stack en Abastecedora de Fierro y acero s.a. de c.v,
"""Indeed"" <donotreply@match.indeed.com>",Consultor de TI (COMERCIAL) en hyperflex,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador Front End Jr en Grupo Colorines,
"""Indeed"" <donotreply@match.indeed.com>",Programador en Strattec De México,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador Java Full Stack SR en TRUPER HERRAMIENTAS,
Kaggle <noreply@kaggle.com>,Join Kaggle at Google Cloud NEXT 25!,
"""adidas"" <adidas@mx-news.adidas.com>",Nacido de la tradición. Listo para ganar.,
"""=?utf-8?Q?Lillian=20at=20Cod=C3=A9dex?="" <lillian@codedex.io>",YOU NEED TO LEARN THIS 📌,
"=?UTF-8?Q?Aerom=C3=A9xico_Promociones?=
 <ampromociones@mx.aeromexico.com>","Las Vegas desde $7,431 MXN, ¿listo para planear tu siguiente viaje?",
"""Coursera"" <Coursera@m.learn.coursera.org>",📬 Your personalized digest: this week's new courses,
LinkedIn <messages-noreply@linkedin.com>,"Josue Alfredo, sigue a Andrea Itzel Esquivel Ascencio - Supervisor
 de RR. HH. en Coca-Cola FEMSA",
"""Booking.com"" <email.campaign@sg.booking.com>",Chihuahua y Ciudad de México: consigue un 15% de descuento sobre la tarifa base con nuestro programa de lealtad de Genius,
"""SHEIN"" <shein@email.shein.com>",¡Novedades para ti!,
"=?UTF-8?Q?The_Pok=C3=A9mon_Company_International?=
 <pokemon@email.pokemon.com>",Los Pokémon brillantes llegan a JCC Pokémon Pocket,
"""Under Armour"" <underarmour@emails.underarmour.com>",Let your 🏈 cleats do the talking: UA Blur Pro GLDN CHLD,
"""Indeed"" <donotreply@match.indeed.com>",AUXILIAR DE PERSONALIZACION | INNOVASPORT DISTRITO 1 en Innovasport,
"""Indeed"" <donotreply@match.indeed.com>",Encargado de Sucursal en Desarrollo en Grupo Black Clinicas,
Oracle Talent Acquisition <noreply@oracle.com>,Your latest Oracle jobs,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador JAVA MID en Maxikash,
"""Indeed"" <donotreply@match.indeed.com>",Support Developer L2 NOCTURNO en T LINE MEXICO,
"""Indeed"" <donotreply@match.indeed.com>",Becario en Soporte Técnico Web en SW sapien,
"""Indeed"" <donotreply@match.indeed.com>",Customer Support Agent en Infolink-Exp,
"""Indeed"" <donotreply@match.indeed.com>",Líder Técnico en Darol Consultores,
"""Indeed"" <donotreply@match.indeed.com>",Practicante de Sistemas en Grupo Carma Asesores,
"""Indeed"" <donotreply@match.indeed.com>",Ingeniero en Desarrollo en M3 CORP,
"""Indeed"" <donotreply@match.indeed.com>",Telefonista inglés intermedio / Sin experiencia en TELEPERFORMANCE (P),
AutoZone Recruiter <noreply@invalidemail.com>,"INTERN IT - QE-250001LW at AutoZone.com, Inc.",
LSKD <yourfriends@lskd.co>,Online Warehouse Sale LIVE NOW ,
Glassdoor <noreply@glassdoor.com>,Just in at Teleflex: This week's employee reviews and more,
"""=?utf-8?Q?Sonny=20at=20Cod=C3=A9dex?="" <sonny@codedex.io>",1️⃣ + 1️⃣ = 3️⃣,
"""Hey Banco"" <noreply@hola.hey.inc>","Josue, aprovecha hasta 30% descuento con tu Tarjeta Hey",
"""SHEIN"" <shein@news.shein.com>",💸 ¡Gran descuento de 5%!,
"""Samsung"" <no-reply@m21.email.samsung.com>",Ahorra hasta 52%🏷️ OFF durante App Week,
"""Indeed"" <donotreply@match.indeed.com>",Big Data en Numaris,
"""Indeed"" <donotreply@match.indeed.com>",Practicas|Residencias en Sistemas Computacionales o Informática en DIGIS01 Soluciones Digitales,
"""Indeed"" <no-reply@indeed.com>",Enviar un mensaje a VCL Desarrollos para destacarse,
Braintrust <donotreply@usebraintrust.com>,🔔,
Algo Monster <hello@algo.monster>,A Smarter Way to Prepare for FAANG Interviews,
"""Coursera"" <Coursera@m.learn.coursera.org>",La analítica de datos crecerá un 36 % en 10 años,
"""Coursera"" <Coursera@m.learn.coursera.org>",Data analytics is set to grow 36% over 10 years,
"""adidas"" <adidas@mx-news.adidas.com>",The Original: Superstar,
"""Booking.com"" <email.campaign@sg.booking.com>",¡Aún,
LSKD <yourfriends@lskd.co>,Get Ready ,
ITJ Talent <talent@itj.com>,🚀 Last Chance to Register: Innovation Webinar Today!,
Soda PDF <info@enews.sodapdf.com>,[Last Chance] - your subscription renewal is pending,
ATTITUDE <info@attitudeliving.com>,UP TO 20% OFF ,
"""SHEIN"" <shein@email.shein.com>",Alerta de rebajas de cierre ,
"""Indeed"" <no-reply@indeed.com>",Acción recomendada: Notamos que tu perfil está incompleto,
"""Indeed"" <donotreply@match.indeed.com>",Almacenista y Vendedor de Mostrador en Agencia Suzuki,
"""Indeed"" <alert@indeed.com>","1 nueva vacante de biomedica en Chihuahua, Chih.",
YouTube <noreply-purchases@youtube.com>,Tu recibo de YouTube,
ATTITUDE <info@attitudeliving.com>,A whole sensory experience,
LinkedIn <messages-noreply@linkedin.com>,"Josue Alfredo, ¡estás triunfando en LinkedIn!",
SHEIN <noreply@sheinnotice.com>,¡Tu paquete de devolución,
"""Samsung"" <no-reply@m21.email.samsung.com>",Hasta 43%🏷️ OFF en Galaxy Party🥳,
"""SHEIN"" <shein@news.shein.com>",💸 ¡Gran descuento de 50%!,
Autoliv Mexico <no-reply@autolivmexico.teamtailor-mail.com>,Autoliv Mexico: una nueva vacante encaja con tu perfil,
Kaggle <noreply@kaggle.com>,Competition Launch: FGVC12 2025,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador de Interfaz (Frontend) Senior en Despatch Cloud Ltd,
"""Indeed"" <donotreply@match.indeed.com>",Consultor de Software Jr (atención a clientes) en Grupo Tress Internacional,
"""Indeed"" <donotreply@match.indeed.com>",Desarrollador Low- Code en GBS Digital,
"""Indeed"" <donotreply@match.indeed.com>",Soporte Técnico en Paneles Solares en Grupo Mayoristas Solares,
"""ClickUp Team"" <team@mail.clickup.com>",Introducing: ClickUp Calendar,
"""Sam's Benefits"" <hola@pranagroup.mx>",🌴 El plan perfecto para desconectarte y disfrutar 😌✨,
"""MongoDB"" <mongodb@alerts.mongodb.com>","Incorrect deserialization of negative int64 values for users of the useBigInt64 option in the JavaScript bson library, the Node.js Driver and MongoDB Shell",
"""adidas"" <adidas@mx-news.adidas.com>",Arrancó la nueva temporada del automovilismo 🏁2,
"""Under Armour"" <underarmour@emails.underarmour.com>",Now trending: Shoes $100 & under,
"""Indeed"" <donotreply@match.indeed.com>",VINCULACION en ICSEA,
DICK'S Sporting Goods  <DSG@e.dcsg.com>,"You'll be glad you opened this! Gear up and head out with GREAT
 deals",
Google Flights <noreply-travel@google.com>,Ruta que sigues: vuelos de Chihuahua a Tijuana desde 2.126 MXN,
